metric,grp_val,CI_quantile_95,values,exp_name,eval_group
BACC,65-74,mid,0.8469185714285712,C-GTOP,Age
BACC,65-74,upper,0.8668571428571429,C-GTOP,Age
FPR,65-74,lower,0.04,C-GTOP,Age
FPR,65-74,mid,0.05551999999999999,C-GTOP,Age
FPR,65-74,upper,0.08,C-GTOP,Age
FNR,65-74,lower,0.21428571428571427,C-GTOP,Age
FNR,65-74,mid,0.2506428571428571,C-GTOP,Age
FNR,65-74,upper,0.3,C-GTOP,Age
AUROC,75-84,lower,0.8585496894409937,C-GTOP,Age
AUROC,75-84,mid,0.8789962732919254,C-GTOP,Age
AUROC,75-84,upper,0.9041894409937888,C-GTOP,Age
BCE,75-84,lower,0.45511916769585214,C-GTOP,Age
BCE,75-84,mid,0.49050905463688665,C-GTOP,Age
BCE,75-84,upper,0.5331990987602915,C-GTOP,Age
ECE,75-84,lower,0.087413980278594,C-GTOP,Age
ECE,75-84,mid,0.10880276838806388,C-GTOP,Age
ECE,75-84,upper,0.12852859772080005,C-GTOP,Age
BACC,75-84,lower,0.7404565217391305,C-GTOP,Age
BACC,75-84,mid,0.7735757763975155,C-GTOP,Age
BACC,75-84,upper,0.8181987577639752,C-GTOP,Age
FPR,75-84,lower,0.2054285714285714,C-GTOP,Age
FPR,75-84,mid,0.27245714285714284,C-GTOP,Age
FPR,75-84,upper,0.3142857142857143,C-GTOP,Age
FNR,75-84,lower,0.13021739130434784,C-GTOP,Age
FNR,75-84,mid,0.18039130434782608,C-GTOP,Age
FNR,75-84,upper,0.23043478260869563,C-GTOP,Age
AUROC,85+,lower,0.8615384615384615,C-GTOP,Age
AUROC,85+,mid,0.8730384615384615,C-GTOP,Age
AUROC,85+,upper,0.885897435897436,C-GTOP,Age
BCE,85+,lower,0.4384193768839594,C-GTOP,Age
BCE,85+,mid,0.4699544089502632,C-GTOP,Age
BCE,85+,upper,0.5121113495543592,C-GTOP,Age
ECE,85+,lower,0.13902906991687963,C-GTOP,Age
ECE,85+,mid,0.16680341778699959,C-GTOP,Age
ECE,85+,upper,0.19372337358605835,C-GTOP,Age
BACC,85+,lower,0.8122916666666666,C-GTOP,Age
BACC,85+,mid,0.8327756410256407,C-GTOP,Age
BACC,85+,upper,0.8562980769230769,C-GTOP,Age
FPR,85+,lower,0.24125,C-GTOP,Age
FPR,85+,mid,0.3198333333333333,C-GTOP,Age
FPR,85+,upper,0.3754166666666665,C-GTOP,Age
FNR,85+,lower,0.0,C-GTOP,Age
FNR,85+,mid,0.014615384615384615,C-GTOP,Age
FNR,85+,upper,0.046153846153846156,C-GTOP,Age
AUROC,<65,lower,0.5932692307692308,CPP,Age
AUROC,<65,mid,0.6898461538461541,CPP,Age
AUROC,<65,upper,0.7692307692307693,CPP,Age
BCE,<65,lower,0.7558928648526334,CPP,Age
BCE,<65,mid,0.8632747113253929,CPP,Age
BCE,<65,upper,0.9609334603607412,CPP,Age
ECE,<65,lower,0.09149978900642937,CPP,Age
ECE,<65,mid,0.14984555918818143,CPP,Age
ECE,<65,upper,0.21263789613240439,CPP,Age
BACC,<65,lower,0.5794871794871794,CPP,Age
BACC,<65,mid,0.6900000000000002,CPP,Age
BACC,<65,upper,0.788653846153846,CPP,Age
FPR,<65,lower,0.0,CPP,Age
FPR,<65,mid,0.12399999999999999,CPP,Age
FPR,<65,upper,0.4,CPP,Age
FNR,<65,lower,0.23076923076923075,CPP,Age
FNR,<65,mid,0.496,CPP,Age
FNR,<65,upper,0.7619230769230768,CPP,Age
AUROC,65-74,lower,0.5536910714285713,CPP,Age
AUROC,65-74,mid,0.6425242857142857,CPP,Age
AUROC,65-74,upper,0.7341589285714285,CPP,Age
BCE,65-74,lower,0.5256687294797664,CPP,Age
BCE,65-74,mid,0.5896317444970198,CPP,Age
BCE,65-74,upper,0.6581594525796358,CPP,Age
ECE,65-74,lower,0.04641101658819285,CPP,Age
ECE,65-74,mid,0.0866715016115111,CPP,Age
ECE,65-74,upper,0.1397055852780035,CPP,Age
BACC,65-74,lower,0.5266964285714286,CPP,Age
BACC,65-74,mid,0.5902085714285714,CPP,Age
BACC,65-74,upper,0.6513214285714285,CPP,Age
FPR,65-74,lower,0.004,CPP,Age
FPR,65-74,mid,0.19344,CPP,Age
FPR,65-74,upper,0.6021,CPP,Age
FNR,65-74,lower,0.3142857142857143,CPP,Age
FNR,65-74,mid,0.6261428571428571,CPP,Age
FNR,65-74,upper,0.8357142857142857,CPP,Age
AUROC,75-84,lower,0.8585496894409937,CPP,Age
AUROC,75-84,mid,0.8789962732919254,CPP,Age
AUROC,75-84,upper,0.9041894409937888,CPP,Age
BCE,75-84,lower,0.3975032969883693,CPP,Age
BCE,75-84,mid,0.4558467265370259,CPP,Age
BCE,75-84,upper,0.5039815607350652,CPP,Age
ECE,75-84,lower,0.15510189755210868,CPP,Age
ECE,75-84,mid,0.17843827292429723,CPP,Age
ECE,75-84,upper,0.2094401973297922,CPP,Age
BACC,75-84,lower,0.7165388198757764,CPP,Age
BACC,75-84,mid,0.7377236024844721,CPP,Age
BACC,75-84,upper,0.7580388198757764,CPP,Age
FPR,75-84,lower,0.34285714285714286,CPP,Age
FPR,75-84,mid,0.3828571428571429,CPP,Age
FPR,75-84,upper,0.443,CPP,Age
FNR,75-84,lower,0.11304347826086956,CPP,Age
FNR,75-84,mid,0.14169565217391306,CPP,Age
FNR,75-84,upper,0.16956521739130434,CPP,Age
AUROC,85+,lower,0.8615384615384615,CPP,Age
AUROC,85+,mid,0.8730384615384615,CPP,Age
AUROC,85+,upper,0.885897435897436,CPP,Age
BCE,85+,lower,0.5587959841673894,CPP,Age
BCE,85+,mid,0.6078715710680391,CPP,Age
BCE,85+,upper,0.6510684441776231,CPP,Age
ECE,85+,lower,0.16180782314617453,CPP,Age
ECE,85+,mid,0.19761426712476335,CPP,Age
ECE,85+,upper,0.22826800700892422,CPP,Age
BACC,85+,lower,0.75,CPP,Age
BACC,85+,mid,0.8009999999999999,CPP,Age
BACC,85+,upper,0.8333333333333333,CPP,Age
FPR,85+,lower,0.3333333333333333,CPP,Age
FPR,85+,mid,0.39799999999999996,CPP,Age
FPR,85+,upper,0.5000000000000001,CPP,Age
FNR,85+,lower,0.0,CPP,Age
FNR,85+,mid,0.0,CPP,Age
FNR,85+,upper,0.0,CPP,Age
